country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Ethiopia,Unknown,Washed / Wet,90.58,8.67,8.83,8.75,8.5,8.42,2075.0
Ethiopia,Other,Washed / Wet,89.92,8.75,8.67,8.58,8.42,8.42,2075.0
Guatemala,Bourbon,Unknown,89.75,8.42,8.5,8.42,8.33,8.42,1700.0
Ethiopia,Unknown,Natural / Dry,89.0,8.17,8.58,8.42,8.5,8.25,2000.0
Ethiopia,Other,Washed / Wet,88.83,8.25,8.5,8.5,8.42,8.33,2075.0
Brazil,Unknown,Natural / Dry,88.83,8.58,8.42,8.5,8.25,8.33,
Peru,Other,Washed / Wet,88.75,8.42,8.5,8.5,8.25,8.25,
Ethiopia,Unknown,Unknown,88.67,8.25,8.33,8.42,8.33,8.5,1635.0
Ethiopia,Unknown,Unknown,88.42,8.67,8.67,8.42,8.33,8.42,1635.0
Ethiopia,Other,Natural / Dry,88.25,8.08,8.58,8.5,7.67,8.42,1822.5
Ethiopia,Unknown,Natural / Dry,88.08,8.17,8.67,8.5,7.75,8.17,1905.0
United States,Other,Washed / Wet,87.92,8.25,8.42,8.33,8.08,8.17,1872.0
United States,Other,Washed / Wet,87.92,8.08,8.67,8.42,8.0,8.08,1943.0
United States (Hawaii),Unknown,Unknown,87.92,8.33,8.42,8.25,8.25,8.0,609.6
Ethiopia,Unknown,Unknown,87.83,8.25,8.33,8.25,8.58,8.75,1635.0
United States,Other,Washed / Wet,87.58,8.0,8.5,8.17,8.17,8.0,2080.0
Indonesia,Unknown,Unknown,87.42,8.33,8.25,7.75,8.5,8.42,1500.0
Ethiopia,Unknown,Unknown,87.33,8.17,8.33,8.33,8.42,8.33,
China,Catimor,Washed / Wet,87.25,8.42,8.25,8.17,7.92,8.0,1450.0
Ethiopia,Ethiopian Yirgacheffe,Natural / Dry,87.25,8.17,8.17,8.17,8.08,8.33,1850.0
United States,Other,Washed / Wet,87.25,8.0,8.25,8.5,8.25,8.0,2019.0
Costa Rica,Caturra,Washed / Wet,87.17,8.08,8.25,8.17,8.0,8.33,1300.0
Mexico,Other,Washed / Wet,87.17,8.17,8.25,8.0,7.83,8.17,1320.0
United States,Other,Washed / Wet,87.08,8.25,8.33,8.17,7.83,8.17,2112.0
Ethiopia,Unknown,Natural / Dry,87.08,8.42,8.17,8.17,8.33,8.0,
Brazil,Bourbon,Natural / Dry,86.92,8.5,8.5,8.0,8.0,8.0,1250.0
Ethiopia,Unknown,Unknown,86.92,7.83,8.25,8.17,8.17,8.17,
Uganda,SL14,Washed / Wet,86.83,8.42,8.17,8.17,7.83,7.92,1950.0
Honduras,Caturra,Unknown,86.67,8.17,8.08,8.0,8.08,8.0,1400.0
Taiwan,Sumatra,Pulped natural / honey,86.58,8.0,8.0,8.25,8.0,8.17,1200.0
Nicaragua,Unknown,Unknown,86.58,7.92,8.25,8.33,8.0,8.08,
"Tanzania, United Republic Of",Unknown,Natural / Dry,86.5,8.42,8.17,8.0,7.58,8.0,
Brazil,Bourbon,Natural / Dry,86.42,8.5,8.17,7.75,8.0,8.0,1300.0
Costa Rica,Caturra,Washed / Wet,86.33,8.17,7.83,8.08,7.83,8.0,1300.0
Ethiopia,Unknown,Natural / Dry,86.25,8.0,8.08,8.0,8.08,8.08,1775.0
Kenya,SL34,Washed / Wet,86.25,8.08,8.0,8.25,7.92,7.92,1800.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,86.25,8.08,8.17,7.92,7.92,7.83,
United States (Hawaii),Unknown,Unknown,86.25,8.25,8.42,7.75,7.67,7.83,
